,id,attribute_id,music_id,animation_id,duration,creator,created_at,num_shares,game_id,is_ar
0,6e884071-8c0e-4782-aa40-e0fd78243360,4712e9e6-bef1-4646-b21e-ca5336901bf9,4ee0de5b-e27f-4d73-a3c6-52cf26e36c54,17dab81c-6180-4a4b-b539-91978a726cfd,5.34,73ec1ac2-d148-45ac-94a8-9bdff51730d7,2021-08-04 10:42:39,12,8bd4c7be-fe87-45ad-990d-d131cd3d9c77,True
1,ac90ff16-24b4-46bc-ae72-2da847f9e6c9,4f91d2b6-bf42-4d3f-a8e8-acc3b07f647e,4ee0de5b-e27f-4d73-a3c6-52cf26e36c54,6d7a0545-0bca-4bf4-a306-931e57d8ffe2,3.88,0230f9af-e89f-4886-8322-52a38eaf991c,2021-11-27 10:06:43,3,6ca0f645-a16b-42b0-9dc2-2ae952c83591,True
2,fb5eaf0d-e72c-4523-b5c5-4d9c323cef5f,80f5b187-f6e6-40f2-9b6e-fe62b67049a8,d53234f4-1efb-4299-97c1-11658118cba5,716c02df-bd3a-41c9-b2be-86fb74ff3255,5.15,fbf93fbf-a935-436f-8516-8acb863e779f,2021-02-26 04:18:53,4,6ca0f645-a16b-42b0-9dc2-2ae952c83591,True
3,bbf89dcb-7fbd-439d-9a7d-36ef7a1c2aa3,02b2b662-1b39-4d91-9417-dddc9451d8e1,19e4db13-d854-4913-a8ca-3612ee1a6071,b7bd5204-2976-4eb0-ab71-508a848bc325,6.5,f7a2adb8-44d7-4408-a2a9-3a593fc6d626,2021-11-27 02:08:02,9,8bd4c7be-fe87-45ad-990d-d131cd3d9c77,False
4,4c613ec6-fa6f-47e8-b4ab-658e2f6a644d,06c496ee-e884-42f9-ba39-010a66ed5296,b5b679a5-e769-4d95-82a6-f75e439b1ef9,17dab81c-6180-4a4b-b539-91978a726cfd,4.38,d9f9538f-1b7e-4f35-805d-924b309d75d8,2021-11-17 11:06:32,14,2609b6b5-3a08-451e-bce5-75fe506559d2,False
5,dd231f70-0e44-431e-af14-833abd41ae72,7ef48c9e-776d-4d24-8c2b-e3675b295767,19e4db13-d854-4913-a8ca-3612ee1a6071,435320a3-8d3d-4a9d-b76b-2f2e268f7619,6.38,12daa534-6cf9-4e19-bb2d-e29bdf2a3780,2021-12-05 03:53:43,0,4d54f6ab-cd8f-43a5-9be0-c497c2c32d24,True
6,b78abece-818a-4217-89e9-c1f4ffdcf127,25e7fab9-abfb-4a74-a8cb-c3adbc6e3531,c3721b09-6896-465a-8e13-4d73efd06874,b7bd5204-2976-4eb0-ab71-508a848bc325,6.25,4ef9ea6b-e0af-4c5d-9a38-30151e73d5d0,2021-10-23 12:57:43,16,4d54f6ab-cd8f-43a5-9be0-c497c2c32d24,False
7,3a398fd3-7726-40ed-a301-5e0a375b8f1d,4712e9e6-bef1-4646-b21e-ca5336901bf9,e2bf5d12-edc2-47cb-b23f-1f4f7c1a2292,ace4c5e2-ef86-429a-aad3-23bef7a1c9f1,3.62,1f52599d-401d-45a8-b4da-7424e6a74312,2021-12-03 07:47:23,7,66653b7c-b600-49b3-a58c-d1862e91d426,False
8,179733b6-e54b-458e-bb9e-2b7915c7aaa4,e339ba35-ffef-403b-a17c-dd218fdbb915,e2bf5d12-edc2-47cb-b23f-1f4f7c1a2292,542d7532-e88a-48ca-826f-c11f0f615bc4,4.45,a3d2cffc-8286-47ac-bd57-6d291b60248f,2021-04-27 02:02:41,15,66653b7c-b600-49b3-a58c-d1862e91d426,True
9,6d90545d-7f21-41bd-b57e-aa6c75c41f2f,02b2b662-1b39-4d91-9417-dddc9451d8e1,d53234f4-1efb-4299-97c1-11658118cba5,6d7a0545-0bca-4bf4-a306-931e57d8ffe2,5.71,66a5a0f7-29cc-4879-9e09-b9b5c4ab6616,2021-10-19 09:41:19,15,8bd4c7be-fe87-45ad-990d-d131cd3d9c77,False
